Personnages,Type
Réplicants,Technique
Tyrell corporation ,Technique
Colonies de l'espace ,Technique
Niander Wallace,Scientifique
Nexus 8,Technique
Officier KD6-3.7/Joe,Technique
Sapper Morton,Technique
Lieutenante Joshi,Politique
Robot interrogateur,Technique
policiers de la LAPD,Technique
Eboueurs,Technique
Habitants ville,NA
Habitants immeuble,NA
Joi,Technique
M. Cotton,Scientifique
Coco,Scientifique
Rachel,Politique
Docteur Ana Stelline,Scientifique
Secrétaire siège terrestre,Technique
Cliente corporation,NA
Luv,Technique
Deckard,Technique
Homme dans maison de retraite,NA
Androïde nouvellement née,Technique
Freysa,Politique
Mariette,Technique
Bande d''enfants,NA
Pillards,Technique
Manucure de Luv,NA
Enfants orphelinat,NA
Responsable orphelinat,Technique
Doc Badger,Scientifique
Mercenaires,Technique
Armée,Technique
Réplique de Rachel,Technique
Pub pour Joi,Technique
Pilotes,Technique
